,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,22.0,34,83,0.41
1,23.0,69,171,0.404
2,24.0,73,200,0.365
3,25.0,85,232,0.366
4,26.0,72,202,0.356
5,27.0,70,205,0.341
8,28.0,36,108,0.333
9,29.0,34,118,0.288
