,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,23.0,78,216,0.361
1,24.0,65,156,0.417
4,25.0,40,84,0.476
5,26.0,9,48,0.188
8,27.0,1,2,0.5
9,30.0,0,13,0.0
