,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,24.0,68,175,0.389
1,25.0,143,383,0.373
2,26.0,27,117,0.231
5,27.0,82,216,0.38
8,28.0,31,102,0.304
9,29.0,5,18,0.278
10,30.0,81,203,0.399
11,31.0,7,42,0.167
