,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,22.0,46,115,0.4
1,23.0,41,124,0.331
2,24.0,34,94,0.362
3,25.0,48,136,0.353
4,26.0,71,189,0.376
5,27.0,60,161,0.373
6,28.0,87,217,0.401
7,29.0,73,175,0.417
8,30.0,96,205,0.468
9,31.0,79,194,0.407
