,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,21.0,111,336,0.33
1,22.0,124,390,0.318
2,23.0,88,256,0.344
3,24.0,31,70,0.443
4,25.0,38,105,0.362
7,26.0,56,159,0.352
