,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,62,159,0.39
1,21.0,81,222,0.365
2,22.0,65,171,0.38
3,23.0,91,247,0.368
4,24.0,30,77,0.39
5,25.0,51,135,0.378
6,26.0,87,259,0.336
7,27.0,100,281,0.356
8,28.0,120,356,0.337
9,28.0,118,363,0.325
