,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,105,276,0.38
1,21.0,120,327,0.367
2,22.0,110,338,0.325
5,23.0,125,321,0.389
6,24.0,120,351,0.342
7,25.0,45,139,0.324
10,27.0,41,129,0.318
