,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,22.0,55,208,0.264
3,23.0,36,153,0.235
4,24.0,15,55,0.273
5,25.0,15,64,0.234
6,26.0,14,59,0.237
9,27.0,10,38,0.263
