,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,23.0,21,76,0.276
1,24.0,35,98,0.357
2,25.0,60,174,0.345
5,26.0,55,176,0.313
6,27.0,33,102,0.324
7,28.0,3,13,0.231
