,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,10,42,0.238
1,21.0,52,148,0.351
2,22.0,77,239,0.322
3,23.0,100,294,0.34
4,24.0,76,262,0.29
5,25.0,124,364,0.341
