,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,3,15,0.2
1,21.0,6,21,0.286
2,22.0,12,38,0.316
3,23.0,16,44,0.364
4,24.0,30,110,0.273
5,25.0,48,135,0.356
6,26.0,67,190,0.353
7,27.0,55,171,0.322
