,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,145,388,0.374
1,21.0,98,303,0.323
2,22.0,129,388,0.332
3,23.0,173,461,0.375
4,24.0,154,457,0.337
5,25.0,76,211,0.36
8,26.0,51,155,0.329
11,27.0,79,252,0.313
12,28.0,9,33,0.273
