,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,22.0,69,226,0.305
1,23.0,107,332,0.322
2,24.0,109,327,0.333
3,25.0,85,280,0.304
4,26.0,182,490,0.371
5,27.0,240,602,0.399
6,28.0,231,601,0.384
7,28.0,260,731,0.356
