,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,22.0,13,62,0.21
1,23.0,24,104,0.231
2,24.0,83,245,0.339
5,25.0,72,241,0.299
6,26.0,118,334,0.353
7,27.0,66,184,0.359
8,28.0,52,169,0.308
9,29.0,174,471,0.369
