,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,24.0,25,86,0.291
1,25.0,43,135,0.319
2,26.0,83,243,0.342
5,27.0,109,289,0.377
6,28.0,133,351,0.379
7,29.0,18,73,0.247
8,30.0,1,3,0.333
