,PLAYER_AGE,FG3M,FG3A,FG3_PCT
0,20.0,34,115,0.296
1,21.0,3,42,0.071
2,22.0,12,45,0.267
3,23.0,108,308,0.351
4,24.0,65,217,0.3
5,25.0,115,328,0.351
6,26.0,89,272,0.327
7,27.0,62,167,0.371
8,28.0,51,169,0.302
